📻西八精選音樂頻道,#genre#
【咖啡】,https://www.youtube.com/watch?v=ciwJV_AFVhk
【我曾用心愛著你】,https://www.youtube.com/watch?v=suYmnM7xkzs
【她的眼淚】,https://www.youtube.com/watch?v=-cRvMnaQe2I
【浪漫來襲】,https://www.youtube.com/watch?v=eYpmSggwltg
【妙妙妙】,https://www.youtube.com/watch?v=1FmwKDPA7tY
【童年】,https://www.youtube.com/watch?v=mRKTOZmX2cE
【話說從頭】,https://www.youtube.com/watch?v=PYNae2UlK7Q
【誰說我不在乎】,https://www.youtube.com/watch?v=vLTlFoqkKBM
【年輕的喝采】,https://www.youtube.com/watch?v=IBiYGN28Ixo
【喜歡你】,https://www.youtube.com/watch?v=iTJC_ocKiQI
【懸崖】,https://www.youtube.com/watch?v=0ZpSE70K1zc
【心動】,https://www.youtube.com/watch?v=rAXmU300DRc
【記事本】,https://www.youtube.com/watch?v=aAgywnuL7UQ
【愛情抗體】,https://www.youtube.com/watch?v=hhTLPkChXus
【突然想起你】,https://www.youtube.com/watch?v=KUf5MMj1wKw
【一個人生活】,https://www.youtube.com/watch?v=hUJl1HwYIN8
【靜止】,https://www.youtube.com/watch?v=uwL23suAKm0
【星星堆滿天】,https://www.youtube.com/watch?v=QQOcgoxin1M
【好想再聽一遍】,https://www.youtube.com/watch?v=FIXBA0X62So
【殘酷的溫柔】,https://www.youtube.com/watch?v=l1WjLI4eL_U
【快樂天堂】,https://www.youtube.com/watch?v=il_Yd1irRgE
【大雨】,https://www.youtube.com/watch?v=wgNRXndLex8
【飄洋過海來看你】,https://www.youtube.com/watch?v=hNQohQBFnwI
【浪流連】,https://www.youtube.com/watch?v=bXkfmK4hQWM
【披星戴月的想你】,https://www.youtube.com/watch?v=zMDj2YvzeAQ
【能不能和我留在台北】,https://www.youtube.com/watch?v=Vp4fe5CXW8w
【醉後喜歡我】,https://www.youtube.com/watch?v=DQ--j15hEwo
【有多少爱可以重来】,https://www.youtube.com/watch?v=eXgHhY2QG8w
【坚持到底】,https://www.youtube.com/watch?v=QMEO7_6CGGA
【雨蝶】,https://www.youtube.com/watch?v=2xwoVqXHuX0
【明天你是否依然愛我】,https://www.youtube.com/watch?v=EaGlpBk3dUI
【為愛癡狂】,https://www.youtube.com/watch?v=lWkKW3Eqf5I
【小半】,https://www.youtube.com/watch?v=cwL0I7t4xbc
【忽然之間】,https://www.youtube.com/watch?v=08S2Jsl_Pvw
【我只想在乎我在乎的】,https://www.youtube.com/watch?v=WYEzSekAt6Y
【我走後】,https://www.youtube.com/watch?v=KsJ7s-8MdwQ
【禮物】,https://www.youtube.com/watch?v=IUiBcR8s6OI
【糖果】,https://www.youtube.com/watch?v=L6XKatjsiyg
【愛情有什麼道理】,https://www.youtube.com/watch?v=6ArP9IGKcUw
【腦公】,https://www.youtube.com/watch?v=UYWUAQhhR_g
【天后】,https://www.youtube.com/watch?v=OhPyurx8-N0
【旅行的意義】,https://www.youtube.com/watch?v=tv95k0zqnaA
【千千阙歌】,https://www.youtube.com/watch?v=UxmpcK1TRp0
【朋友】,https://www.youtube.com/watch?v=ZQR_S8dVrvE
【敢爱敢做】,https://www.youtube.com/watch?v=X1b6dBbfBhc
【我還是愛著你】,https://www.youtube.com/watch?v=Oc_VUUE9MHo
【醉後喜歡我】,https://www.youtube.com/watch?v=3OHT350Acj4
【你朝我的方向走來】,https://www.youtube.com/watch?v=7L06_HW_HcA
【夢醒時分】,https://www.youtube.com/watch?v=fHukHb9e0YA
【愛丫愛丫】,https://www.youtube.com/watch?v=7rGysiq6krY
