🌸西八台灣啟示錄頻道,#genre#
"【全集】女鬼回陽間復仇索命「找上仙姑指路」！？警察驚覺「是10年前無名裸屍」開棺驗屍...三炷香秒斷三截！？｜徐俊相 【台灣啟示錄】20260104 @台灣啟示錄",https://www.youtube.com/watch?v=09M_N_8SOl0
"【全集】張文北市大屠殺「密謀1年8個月」奪3命後墜樓亡？！原始計畫更駭人..住處藏15汽油彈13長短刀「瀏覽紀錄愛搜隨機殺人」？｜徐俊相 【台灣啟示錄】20251228@ebcapocalypse",https://www.youtube.com/watch?v=JW1fqe9ENrw
"【全集】恐怖張文「從北車殺到中山」煙霧彈+長刀狠害3命！犯案計畫縝密「規劃一年以上」做案前曾大量搜尋「鄭捷江子翠案」！？｜陳靜宜 【台灣啟示錄】20251221 @ebcapocalypse",https://www.youtube.com/watch?v=oPjPlJnCK24
"【全集】116條人命鋪成的「南橫大關山」藏猛鬼隧道！？黑暗中「別抬頭」...七張臉正看著你！？｜徐俊相 【台灣啟示錄】20251214 @台灣啟示錄",https://www.youtube.com/watch?v=YQ4A2EVEf9I
"【全集】15歲國中生割喉女老闆「躲19年還變富商」爽過人生？！差一年過追溯期「靠一枚血指紋破案」他當場認罪：你們終於來了！｜徐俊相 【台灣啟示錄】20251130 @ebcapocalypse",https://www.youtube.com/watch?v=vy_jb_R0FJM
"【全集】高大成驗女焦屍「體內竟藏3組體液」兇手恐有三人？！鐵齒助理亂喊「死者很美，怎不娶她」超毛後果曝｜徐俊相 【台灣啟示錄】20251123 @台灣啟示錄",https://www.youtube.com/watch?v=jn5RaQU8csM
"【全集】十大槍擊要犯「美國博仔雙槍對峙警隊」爆發激烈槍戰！台灣隊長「遭爆擊心臟殉職」...嫌犯送醫腰上竟還掛著手榴彈？！｜徐俊相 【台灣啟示錄】20251116 @ebcapocalypse",https://www.youtube.com/watch?v=7B6dynrH5zE
"【全集】王爺國運籤「下下籤說中了」南鯤鯓牌樓倒塌＋堰塞湖毀光復？！庇佑台灣300年「斬私佛＋戰黑令旗」曾發爐展神蹟？｜徐俊相 【台灣啟示錄】20251109 @ebcapocalypse",https://www.youtube.com/watch?v=PiF5JuGOFjk
"【全集】陸配遭「開膛清洗內臟」裂肚長50公分？計程車司機為小三出氣「用特種部隊專業處理大體」？犯後無悔意：快判我死刑到地獄再殺她｜徐俊相 【台灣啟示錄】20251102@ebcapocalypse",https://www.youtube.com/watch?v=YQudUqNB3X8
"【全集】為何別過萬聖節？請鬼容易送鬼難！好奇心當有趣？大學生玩鬼屋疑似集體中邪！前仙姑桌頭宮廟二代誤拜惡靈 險被抓乩身 撒鹽掛符無解 寧靜默禱竟靠「祂」無聲趕鬼｜徐俊相 【台灣啟示錄】20251026",https://www.youtube.com/watch?v=o-h1uEY0fwU
"【全集】十大槍擊要犯劉煥榮「曾想從軍報國卻碰壁」！？他成黑道殺神「專殺大哥」槍決前高喊「中華民國萬歲」！？｜徐俊相 【台灣啟示錄】20251019 @ebcapocalypse",https://www.youtube.com/watch?v=bVoEPDCLOJY
"【全集】無名焦屍「被鐵線綑綁」連內臟都燒到外露？！兩年後託夢刑警「兇手名字＋地點」拉出四海堂主虐殺案？！｜徐俊相 【台灣啟示錄】20251012 @台灣啟示錄",https://www.youtube.com/watch?v=JCvx5u54dHg
"【全集】惡徒陳福祥「假釋出獄再犯重案」行刑式槍殺2人？！朝頭開槍斃命「雙屍疊車內」遭判死刑...8年後卻逆轉？｜徐俊相 【台灣啟示錄】20251005 @ebcapocalypse",https://www.youtube.com/watch?v=48h9Wtvj15Q
"【全集】狠男找不到女友「隨機殺人」退休女師成替死鬼！鐵鎚猛敲致死「上訴十年竟逆轉逃死」法院喊「不算情節重大」｜徐俊相 【台灣啟示錄】20250928 @ebcapocalypse",https://www.youtube.com/watch?v=okwDEiBhVm4
"【全集】憲兵特勤持西瓜刀「隨機殺警」為奪槍搶銀行？！家中全是「人形標靶彈孔＋刀痕」彩排殺人？｜徐俊相 【台灣啟示錄】20250921@ebcapocalypse",https://www.youtube.com/watch?v=PzS11ExZWXs
"【全集】蛇蠍人妻用肉體「勾結小王殺夫」再演哭戲想脫罪？！手機搜關鍵字「FM2、死亡證明書等」供詞反覆讓檢警看破手腳？！｜徐俊相 【台灣啟示錄】20250914 @ebcapocalypse",https://www.youtube.com/watch?v=Hh9yPZ9rgBk
"【全集】已婚男偷情火辣陸配「遭下藥帶進房分屍」？！蛇蠍女找前夫「將人剁成兩截」房門全是血跡反應｜徐俊相 【台灣啟示錄】20250907 @ebcapocalypse",https://www.youtube.com/watch?v=9W2EsiXUb4M
