🔰【國道即時風景影像】🔰,#genre#
高雄市重要路口,https://www.youtube.com/watch?v=KpB5CMofRI8

🔰【台灣即時風景影像】🔰,#genre#
【TW Live Cam】淡江大橋淡江大橋跨年煙火,https://www.youtube.com/watch?v=RwESfbNevQk
【台北】Maokong Zhinan,https://www.youtube.com/watch?v=215ahZ_0rTg
【台北】Jiantanshan Wei,https://www.youtube.com/watch?v=34h_Cy_n0Ok
【台北】Bishan Temple |,https://www.youtube.com/watch?v=uvwfYzwY8tg
【台北】Dajia Riverside,https://www.youtube.com/watch?v=fP4ecxfsJos
【台北】Taipei Dadaoche,https://www.youtube.com/watch?v=Ndo_8RuefH4
【台北】Overlooking Tai,https://www.youtube.com/watch?v=z_fY1pj1VBw
【陽明山國家公園】擎天崗全景看見台灣擎天崗,https://www.youtube.com/watch?v=IdYxm1UdBJg
【陽明山國家公園】二子坪停車場,https://www.youtube.com/watch?v=d9KuXrPCWYU
【陽明山國家公園】擎天崗草原,https://www.youtube.com/watch?v=yF2LAyOvq0Q
【陽明山國家公園】小油坑停車場,https://www.youtube.com/watch?v=kKD-ZBLs8-4
【陽明山國家公園】冷水坑停車場,https://www.youtube.com/watch?v=GB64WeZZQPQ
【陽明山國家公園】大屯自然公園,https://www.youtube.com/watch?v=6ghffcNt3Nw
【陽明山國家公園】陽明書屋遠眺盆地,https://www.youtube.com/watch?v=RttyIGHbN_w
【陽明山國家公園】遠眺七星山,https://www.youtube.com/watch?v=PvJr2efA6n0
【大新店有線電視】市碧潭,https://www.youtube.com/watch?v=wwkZSCar87I
【新北】八里左岸觀光閃耀跨河煙火,https://www.youtube.com/watch?v=di-4DCblWq4
【新北】十分瀑布公園觀光,https://www.youtube.com/watch?v=HirBQsQEUeA
【新北】九份觀光,https://www.youtube.com/watch?v=XSD5ptYisw8
【新北】烘爐地觀光,https://www.youtube.com/watch?v=xxMRjVwCQ3o
【新北】淡水漁人碼頭觀光閃耀跨河煙火,https://www.youtube.com/watch?v=xwAWSh35uuw
【紅樹林有線電視】市淡水區景點淡水渡船頭淡水河夕陽觀音山港淡水老街河岸淡水渡船乗場,https://www.youtube.com/watch?v=9rcEL_yWMk4
【紅樹林有線電視】市淡水區即時路況車流淡水竹圍雙向紅樹林往水源街二段與淡金路口,https://www.youtube.com/watch?v=yn_8QwCWsyI
【necoast nsa】玩樂東北角永鎮觀景台,https://www.youtube.com/watch?v=BbqTBeNiY7U
【necoast nsa】玩樂東北角馬崗哨所,https://www.youtube.com/watch?v=YtBnDXRyxL4
【necoast nsa】玩樂東北角舊草嶺自行車隧道,https://www.youtube.com/watch?v=epkYegoOGYw
【necoast nsa】玩樂東北角鼻頭服務區,https://www.youtube.com/watch?v=MD4Qb1bJFXE
【necoast nsa】玩樂東北角福隆海水浴場,https://www.youtube.com/watch?v=mMG7v_fET5A
【necoast nsa】玩樂東北角龍洞灣觀景台,https://www.youtube.com/watch?v=8-xSAfWwh10
【necoast nsa】玩樂東北角外澳沙灘,https://www.youtube.com/watch?v=UgoT-QTbYvo
【桃園】巴陵馬崙砲台觀景平台,https://www.youtube.com/watch?v=3JzbzXqusDg
【桃園】許厝港濕地,https://www.youtube.com/watch?v=44JArbF682k
【桃園】小烏來寰宇平台,https://www.youtube.com/watch?v=PJWye36lEj4
【桃園】國際機場凱悅酒店動態資訊頻道,https://www.youtube.com/watch?v=0D6QgDOdI6c
【桃園】國際機場國際機場凱悅酒店,https://www.youtube.com/watch?v=68GFgzQxrXs
【桃園】國際機場大古山,https://www.youtube.com/watch?v=BxMeMnX6Qqw
【桃園】巴陵大橋,https://www.youtube.com/watch?v=nV-DKquUjFs
【桃園】Amuping Ginger,https://www.youtube.com/watch?v=EUOp2LchPQM
【桃園】Cihu Memorial S,https://www.youtube.com/watch?v=pSQ0e-ZTZ5g
【桃園】石門水庫,https://www.youtube.com/watch?v=GUCaVR88ZFU
【雪霸國家公園 Shei-Pa National Park】雪霸國家公園雪見遊憩區小時,https://www.youtube.com/watch?v=2KDE860OW_A
【雪霸國家公園 Shei-Pa National Park】雪霸國家公園汶水遊客中心小時,https://www.youtube.com/watch?v=VgmWVBUsfGo
【雪霸國家公園 Shei-Pa National Park】雪霸國家公園觀霧遊憩區小時,https://www.youtube.com/watch?v=Isp6RQiuxNo
【交通部觀光署-參山風管處】梨山賓館梨山,https://www.youtube.com/watch?v=QgSekwkBZ-8
【交通部觀光署-參山風管處】虎山巖金針花全景看見台灣,https://www.youtube.com/watch?v=vTDmOvNLm1w
【交通部觀光署-參山風管處】攬勝樓攬勝樓,https://www.youtube.com/watch?v=R1RjtxkkxPw
【交通部觀光署-參山風管處】櫻緣丘桜園丘,https://www.youtube.com/watch?v=RsQCjUQ3C24
【交通部觀光署-參山風管處】峨眉湖黃花風鈴木細茅埔吊橋峨眉湖多功能廣場彌勒大佛黃花風鈴木即時花況即時花況,https://www.youtube.com/watch?v=L9y1pwGktQg
【交通部觀光署-參山風管處】彰化平原夕陽美景彰化夜景,https://www.youtube.com/watch?v=RaTbGYKMUtk
【交通部觀光署-參山風管處】峨眉湖彌勒大佛大埔水庫,https://www.youtube.com/watch?v=AE1wiaqDZjw
【交通部觀光署-參山風管處】德基水庫梨山佳陽沖積扇,https://www.youtube.com/watch?v=ZayKvJKDPWc
【大玩台中-臺中觀光旅遊局】Taichung Wang G,https://www.youtube.com/watch?v=lhXXhDyjFtI
【大玩台中-臺中觀光旅遊局】Taichung Gaomei,https://www.youtube.com/watch?v=fjhg3gAnMFg
【台灣即時影像監視器】合歡山武嶺亭武嶺合歡山武嶺亭,https://www.youtube.com/watch?v=2lVMTs_Fj0M
【台灣即時影像監視器】合歡山武嶺附近區域合歡山昆陽停車場合歡山遊客服務中心仁愛鄉小風口合歡山管理站,https://www.youtube.com/watch?v=BiBNiJAW3dY
【Amos YANG】台灣彰化溪湖即時天氣影像,https://www.youtube.com/watch?v=g0bmv428MmE
【Amos YANG】台灣彰化溪湖即時天氣影像,https://www.youtube.com/watch?v=KBgrrTdsOfY
【Amos YANG】台灣彰化溪湖東面即時天氣影像,https://www.youtube.com/watch?v=K25ISlukXxg
【Amos YANG】台灣彰化溪湖西面即時天氣影像,https://www.youtube.com/watch?v=woENxW8O050
【國家森林遊樂區即時影像】太平山國家森林遊樂區景觀平台,https://www.youtube.com/watch?v=zID3n2uSauU
【國家森林遊樂區即時影像】太平山國家森林遊樂區蹦蹦車站,https://www.youtube.com/watch?v=8ndOpLxiBLg
【國家森林遊樂區即時影像】阿里山國家森林遊樂區林業鐵路,https://www.youtube.com/watch?v=9bvE_IISEtM
【國家森林遊樂區即時影像】東眼山國家森林遊樂區,https://www.youtube.com/watch?v=QU-A4DovlKc
【國家森林遊樂區即時影像】阿里山國家森林遊樂區小笠原平台觀日出,https://www.youtube.com/watch?v=turRcGhPnT4
【國家森林遊樂區即時影像】八仙山國家森林遊樂區,https://www.youtube.com/watch?v=1rjWJXUopEw
【國家森林遊樂區即時影像】滿月圓國家森林遊樂區,https://www.youtube.com/watch?v=MkoGY1n-Dew
【國家森林遊樂區即時影像】內洞國家森林遊樂區,https://www.youtube.com/watch?v=lX2MYEFomK0
【國家森林遊樂區即時影像】墾丁國家森林遊樂區觀海樓,https://www.youtube.com/watch?v=wRleP2_WaPc
【阿里山】奮起湖,https://www.youtube.com/watch?v=B6eki-0-w0g
【阿里山】二延平,https://www.youtube.com/watch?v=j2L_559nCjc
【阿里山】Taiping Suspens,https://www.youtube.com/watch?v=dY2cRNr5Buw
【阿里山】Lijia Informati,https://www.youtube.com/watch?v=zDt8FBPozZQ
【阿里山】Sheng-Li Farm i,https://www.youtube.com/watch?v=agEzlv9n9Eg
【阿里山】Highway 18 Love,https://www.youtube.com/watch?v=hMYs60qtkK8
【阿里山】National Scenic,https://www.youtube.com/watch?v=8KnqJBf_dow
【內政部國家公園署台江國家公園管理處】台江國家公園線上七股賞鳥亭黑琵影像,https://www.youtube.com/watch?v=5KJe2gCTngA
【內政部國家公園署台江國家公園管理處】台江國家公園線上北汕尾水鳥生態保護區影像,https://www.youtube.com/watch?v=FES0gWTFUHQ
【高雄】蓮池潭,https://www.youtube.com/watch?v=BnPoNatG-HE
【高雄】旗津海水浴場,https://www.youtube.com/watch?v=ka7FV0sCvxQ
【高雄】壽山情人觀景台,https://www.youtube.com/watch?v=C03Itx8iSC0
【茂林國家風景區】禮納里遊客中心,https://www.youtube.com/watch?v=e1LVSqehQt8
【茂林國家風景區】諦願寺六龜眺景,https://www.youtube.com/watch?v=1IMPS7Ew_c0
【茂林國家風景區】彩虹山大佛,https://www.youtube.com/watch?v=X4feE60jy88
【茂林國家風景區】桃花心木步道,https://www.youtube.com/watch?v=qYi0IJ_qmlM
【茂林國家風景區】屏東平原眺景,https://www.youtube.com/watch?v=tEy9Wi7bcDU
【南喃夕語】龍鑾潭提供,https://www.youtube.com/watch?v=IYArr607fdk
【ktnpworld】船帆石沙灘直接,https://www.youtube.com/watch?v=bWRF0WTYRDE
【ktnpworld】墾丁大灣,https://www.youtube.com/watch?v=l1BUJtoMfXE
【斯爾本科技有限公司】南方澳第二漁港漁村生活,https://www.youtube.com/watch?v=9uRumsWvvfE
【斯爾本科技有限公司】南方澳第三漁港漁村生活,https://www.youtube.com/watch?v=sqWrdNNAlrA
【斯爾本科技有限公司】南方澳進安宮天上聖母寶石珊瑚媽祖大門媽祖文化江夏路第三漁港跨海大橋遊覽車香客紀錄自動巡航,https://www.youtube.com/watch?v=nFd4550YnEQ
【斯爾本科技有限公司】南方澳進安宮天上聖母寶石珊瑚媽祖大殿媽祖文化遠端參拜,https://www.youtube.com/watch?v=_n9ExFHa3AY
【斯爾本科技有限公司】南方澳內埤仔海邊情人灣烏岩角,https://www.youtube.com/watch?v=IHpSqQ5UylQ
【斯爾本科技有限公司】南方澳南天宮第一漁港媽祖文化,https://www.youtube.com/watch?v=_u7baK7ct2M
【花蓮縣政府觀光處七星潭風景區】崇德板下,https://www.youtube.com/watch?v=i_Y37xmOV3k
【花蓮縣政府觀光處七星潭風景區】七星潭航道下景區,https://www.youtube.com/watch?v=m3WK92gj35U
【花蓮縣政府觀光處七星潭風景區】七星潭賞星廣場,https://www.youtube.com/watch?v=ofNycC6kaNY
【東部海岸】綠島柴口,https://www.youtube.com/watch?v=a8nJQr5rBGs
【東部海岸】Fanchuanbi Gras,https://www.youtube.com/watch?v=pLdBc8PvZko
【東部海岸】Shitiping | Eas,https://www.youtube.com/watch?v=mXnigLvIL0Q
【東部海岸】Changhong Bridg,https://www.youtube.com/watch?v=JnD8Rk3o0BM
【東部海岸】Dashshibi Hill,https://www.youtube.com/watch?v=JkoXcXI04Qk
【東部海岸】Jialulan Recrea,https://www.youtube.com/watch?v=AKl3F6cAY2Q
【東部海岸】Torik Visitor C,https://www.youtube.com/watch?v=JhQuR77AR7U
【東部海岸】三仙台,https://www.youtube.com/watch?v=dQ7Sd6PGLdA
【東部海岸】Jinzun | Explor,https://www.youtube.com/watch?v=ZdqHgQwvZOw
【東部海岸】Taitung Green I,https://www.youtube.com/watch?v=wTHhv7M0vCI
【Amazing Taitung 台東就醬玩】台東鯉魚山,https://www.youtube.com/watch?v=BUJJaW0vkJs
【Amazing Taitung 台東就醬玩】台東南橫埡口,https://www.youtube.com/watch?v=LSkq-wHMxQY
【Amazing Taitung 台東就醬玩】台東池上天堂路,https://www.youtube.com/watch?v=6kUEK3LVrro
【Amazing Taitung 台東就醬玩】台東金崙大橋,https://www.youtube.com/watch?v=9QqBz3kNHis
【Amazing Taitung 台東就醬玩】台東華源曙光觀景台,https://www.youtube.com/watch?v=TY4qQElcUrA
【Amazing Taitung 台東就醬玩】台東富岡漁港,https://www.youtube.com/watch?v=D945F_dauls
【Amazing Taitung 台東就醬玩】台東杉原灣,https://www.youtube.com/watch?v=VqS_Y8ZCj6M
【Amazing Taitung 台東就醬玩】台東富山,https://www.youtube.com/watch?v=Rsq95SQ26bY
【Amazing Taitung 台東就醬玩】Taitung Jinzun,https://www.youtube.com/watch?v=q3KJt-SZc2s
【Amazing Taitung 台東就醬玩】Duoliang Train,https://www.youtube.com/watch?v=UCG1aXVO8H8
【ervnsa】Hualien Liyu La,https://www.youtube.com/watch?v=aaKOV4qkDHw
【ervnsa】赤科山花東縱谷,https://www.youtube.com/watch?v=5GTFLN9gZrc
【ervnsa】鹿野高台花東縱谷,https://www.youtube.com/watch?v=rvc1klNIgQc
【ervnsa】六十石山花東縱谷,https://www.youtube.com/watch?v=DliL9uMtPrI
【交通部觀光署澎湖國家風景區管理處】七美碼頭測試,https://www.youtube.com/watch?v=8TYEeSaSGJM
【交通部觀光署澎湖國家風景區管理處】內垵風景區,https://www.youtube.com/watch?v=WKKsky9i8ug
【交通部觀光署澎湖國家風景區管理處】摩西分海北寮奎壁山,https://www.youtube.com/watch?v=zgPJbQzlQmw
【交通部觀光署澎湖國家風景區管理處】菓葉觀日樓澎湖,https://www.youtube.com/watch?v=oPZoY2mKrFE
【樂遊金門】Kinmen Qilin Mo,https://www.youtube.com/watch?v=M4EJtf_iP8s
【樂遊金門】金門高地,https://www.youtube.com/watch?v=-srNHTE-Nf0
【樂遊金門】Jiangong Islet,https://www.youtube.com/watch?v=uh_yNAE01w8
【馬祖國家風景區】東引遊客中心外平台,https://www.youtube.com/watch?v=ZWXg8SyoGYs
【馬祖國家風景區】南竿鐵堡,https://www.youtube.com/watch?v=0JpPVzxCxJM
【馬祖國家風景區】北海坑道,https://www.youtube.com/watch?v=FbWFvTg1_dg
【馬祖國家風景區】南竿鐵堡,https://www.youtube.com/watch?v=NVf3j-5I1Fk


潮境海灣,https://www.youtube.com/watch?v=iw8_RUCeKdw
外木山,https://www.youtube.com/watch?v=LInNQYAbAwQ
外木山提防提岸,https://www.youtube.com/watch?v=Xes0kIbnxJM
潮境海灣-1,https://www.youtube.com/watch?v=jzAxB157yb8

🔰【台灣-臺北即時風景影像】🔰,#genre#
碧山巖,https://www.youtube.com/watch?v=uvwfYzwY8tg
大稻埕碼頭,https://www.youtube.com/watch?v=Ndo_8RuefH4
劍潭山微風平台,https://www.youtube.com/watch?v=34h_Cy_n0Ok
象山看台北,https://www.youtube.com/watch?v=z_fY1pj1VBw
大佳河濱公園,https://www.youtube.com/watch?v=fP4ecxfsJos
貓空指南宮,https://www.youtube.com/watch?v=215ahZ_0rTg
台北市河岸,https://www.youtube.com/watch?v=c-fsELxk5aw

🔰【台灣-新北即時風景影像】🔰,#genre#
烘爐地,https://www.youtube.com/watch?v=xxMRjVwCQ3o
九份,https://www.youtube.com/watch?v=XSD5ptYisw8
九份老街,https://www.youtube.com/watch?v=dhs_KJBpIR8
淡水漁人碼頭,https://www.youtube.com/watch?v=xwAWSh35uuw
三峽老街-1,https://www.youtube.com/watch?v=M24SZJU-uoo
三峽老街-2,https://www.youtube.com/watch?v=R_5jhoux3nY
外澳沙灘,https://www.youtube.com/watch?v=UgoT-QTbYvo
野柳地質公園,https://www.youtube.com/watch?v=psWKqzzvWA4
烏來老街與覽勝橋,https://www.youtube.com/watch?v=tx07sS9lCvY
風箏坪,https://www.youtube.com/watch?v=Rjn3plr9fCI
萬里漁港-1,https://www.youtube.com/watch?v=zjjkBCBY6OM
萬里漁港-2,https://www.youtube.com/watch?v=Shp8KdJK9-Y
福隆海灣,https://www.youtube.com/watch?v=mnrUhQJ97zk
拉拉山遊客中心,https://www.youtube.com/watch?v=YkIUZjVlhv4

🔰【台灣-桃園即時風景影像】🔰,#genre#
永安漁港-1,https://www.youtube.com/watch?v=tD_a03trUvE
大溪老街,https://www.youtube.com/watch?v=XUWjAsajKXg
小烏來寰宇平台,https://www.youtube.com/watch?v=hcGGNRfPvjM
小烏來天空步道,https://www.youtube.com/watch?v=neaiCec1kec
虎頭山環保公園,https://www.youtube.com/watch?v=tu_gsIkNt-w
虎頭山奧爾森林學堂,https://www.youtube.com/watch?v=yQSmajHyMhU
桃園國際機場-1,https://www.youtube.com/watch?v=68GFgzQxrXs
桃園國際機場-2,https://www.youtube.com/watch?v=91PfFoqvuUk
桃園國際機場-3,https://www.youtube.com/watch?v=y3_x8el5ZJY
上巴陵,https://www.youtube.com/watch?v=nV-DKquUjFs
石門水庫,https://www.youtube.com/watch?v=GUCaVR88ZFU
大溪橋,https://www.youtube.com/watch?v=oFJ6gCaBb_Q
角板山梅園,https://www.youtube.com/watch?v=-xT1bZhWLuU
角板山生態池,https://www.youtube.com/watch?v=XEbo8NzMTbQ
角板山思親亭,https://www.youtube.com/watch?v=3Za9y4z_Lzc
三龜戲水觀景平台,https://www.youtube.com/watch?v=5YDXZ1aiR5Y
福壽山農場百櫻園,https://www.youtube.com/watch?v=nMTbcG77nxc
觀音山,https://www.youtube.com/watch?v=lJA31svSoHY
福壽山製茶廠,https://www.youtube.com/watch?v=NVMyghzBWv8
福壽山鴛鴦湖步道,https://www.youtube.com/watch?v=mVqcY2nnNxk
福壽山旅遊中心,https://www.youtube.com/watch?v=dE6oIGt5EtU
福壽山百櫻園,https://www.youtube.com/watch?v=nMTbcG77nxc
福壽山蘋果王,https://www.youtube.com/watch?v=IsjNKaovMXM
福壽山千櫻園,https://www.youtube.com/watch?v=RIH8XIADsTg
慈湖水岸廣場,https://www.youtube.com/watch?v=pSQ0e-ZTZ5g
拉拉山遊客中心,https://www.youtube.com/watch?v=YkIUZjVlhv4
東眼山,https://www.youtube.com/watch?v=fLKbCkg4mjc

🔰【台灣-新竹即時風景影像】🔰,#genre#
清華大學大草坪,https://www.youtube.com/watch?v=x_FuMf2ke1o
清華大學成功湖,https://www.youtube.com/watch?v=Y6xJKj8k2ys
峨眉湖-1,https://www.youtube.com/watch?v=AE1wiaqDZjw
峨眉湖-2,https://www.youtube.com/watch?v=L9y1pwGktQg

🔰【台灣-苗栗即時風景影像】🔰,#genre#
獅頭山-1,https://www.youtube.com/watch?v=AE1wiaqDZjw
獅頭山-2,https://www.youtube.com/watch?v=L9y1pwGktQg
後龍好望角,https://www.youtube.com/watch?v=pVLBQC7juzA
客家文化發展中心,https://www.youtube.com/watch?v=CapRay9IVQw
汶水遊客中心,https://www.youtube.com/watch?v=VgmWVBUsfGo
雪見遊憩區,https://www.youtube.com/watch?v=bf8MMQvwyuY
觀霧遊憩區,https://www.youtube.com/watch?v=Isp6RQiuxNo

🔰【台灣-臺中即時風景影像】🔰,#genre#
高美濕地,https://www.youtube.com/watch?v=fjhg3gAnMFg
德基水庫,https://www.youtube.com/watch?v=ZayKvJKDPWc
虎山巖金針花-1,https://www.youtube.com/watch?v=g0xj7zwbSTM
虎山巖金針花-2,https://www.youtube.com/watch?v=0UJTu7mPIw4
望高寮,https://www.youtube.com/watch?v=lhXXhDyjFtI
八仙山國家森林遊樂區,https://www.youtube.com/watch?v=1gwz501Wkqk

🔰【台灣-彰化即時風景影像】🔰,#genre#
彰化平原,https://www.youtube.com/watch?v=RaTbGYKMUtk
王功漁港,https://www.youtube.com/watch?v=hUG2XK08W5Q
八卦山大佛,https://www.youtube.com/watch?v=Hy6RmFYMwC0



🔰【台灣-南投即時風景影像】🔰,#genre#
合歡山武嶺亭,https://www.youtube.com/watch?v=Jx01B71j0wc
合歡山武嶺附近,https://www.youtube.com/watch?v=BiBNiJAW3dY


🔰【台灣-雲林即時風景影像】🔰,#genre#
石榴火車站,https://www.youtube.com/watch?v=rdU6g2ObdMo

🔰【台灣-嘉義即時風景影像】🔰,#genre#
阿里山牛埔仔大草原,https://www.youtube.com/watch?v=hMYs60qtkK8
阿里山太平雲梯,https://www.youtube.com/watch?v=dY2cRNr5Buw
阿里山奮起湖,https://www.youtube.com/watch?v=B6eki-0-w0g
阿里山二延平步道,https://www.youtube.com/watch?v=j2L_559nCjc
生力農場,https://www.youtube.com/watch?v=agEzlv9n9Eg
觸口遊客中心,https://www.youtube.com/watch?v=8KnqJBf_dow
東石漁人碼頭,https://www.youtube.com/watch?v=lsrOYHqmJ0c
阿里山奮起湖,https://www.youtube.com/watch?v=B6eki-0-w0g
牛埔仔愛情大草原,https://www.youtube.com/watch?v=hMYs60qtkK8
布袋港,https://www.youtube.com/watch?v=VOOtDLwhIpk


🔰【台灣-臺南即時風景影像】🔰,#genre#

黃金海岸,https://www.youtube.com/watch?v=uCXgNUJO9e8
七股賞鳥亭,https://www.youtube.com/watch?v=5KJe2gCTngA
北汕尾水鳥生態,https://www.youtube.com/watch?v=FES0gWTFUHQ
觀夕平台,https://www.youtube.com/watch?v=TizljV2BVrA
火山碧雲寺,https://www.youtube.com/watch?v=zkX6X9p-6iA
西拉雅國家國家風景區,https://www.youtube.com/watch?v=kT-MGYO6bS0
安平港-1,https://www.youtube.com/watch?v=XokKLI4WPvM

🔰【台灣-高雄即時風景影像】🔰,#genre#
壽山情人觀景台,https://www.youtube.com/watch?v=C03Itx8iSC0
旗津海水浴場,https://www.youtube.com/watch?v=ka7FV0sCvxQ
蓮池潭,https://www.youtube.com/watch?v=BnPoNatG-HE
美濃橋,https://www.youtube.com/watch?v=QBgn5a3k_T0
西子灣1,https://www.youtube.com/watch?v=DUm4Eh-As7M
西子灣2,https://www.youtube.com/watch?v=hMeIj2y7Otc

🔰【台灣-屏東即時風景影像】🔰,#genre#
南灣,https://www.youtube.com/watch?v=jUnFuJSj0OU
船帆石,https://www.youtube.com/watch?v=3Wb_Lgw7Ltc
船帆石海灣,https://www.youtube.com/watch?v=3Wb_Lgw7Ltc
船帆石沙灘,https://www.youtube.com/watch?v=f8yo_osMxAg
後壁湖遊艇港,https://www.youtube.com/watch?v=r9m1Mx-2ChQ
墾丁大灣,https://www.youtube.com/watch?v=0V_9uQhdibU
龍鑾潭,https://www.youtube.com/watch?v=tokBPuR3kN0
佳樂水,https://www.youtube.com/watch?v=KBz0yn-F_SY
社皆坑海灣-1,https://www.youtube.com/watch?v=I8TRphlEPcQ
社皆坑海灣-2,https://www.youtube.com/watch?v=0q9UyynOjdg
山海漁港,https://www.youtube.com/watch?v=RZXc7ZAQLTg
屏東平原眺景,https://www.youtube.com/watch?v=tEy9Wi7bcDU
興海,https://www.youtube.com/watch?v=kpbQIIGj1H0

🔰【台灣-臺東即時風景影像】🔰,#genre#
富岡漁港,https://www.youtube.com/watch?v=D945F_dauls
金樽遊憩區,https://www.youtube.com/watch?v=ZdqHgQwvZOw
綠島帆船鼻,https://www.youtube.com/watch?v=pLdBc8PvZko
都歷遊客中心,https://www.youtube.com/watch?v=JhQuR77AR7U
池上天堂路,https://www.youtube.com/watch?v=6kUEK3LVrro
鹿野高台,https://www.youtube.com/watch?v=rvc1klNIgQc
富山,https://www.youtube.com/watch?v=Rsq95SQ26bY
娜路彎銀河酒店,https://www.youtube.com/watch?v=Yo64T79w6Vg
